id,slug,question,endDate,resolutionSource,resolvedOutcome,closed,active,archived,restricted,resolvedBy,category,volumeNum,liquidityNum,tags
613036,jef-quarterly-earnings-gaap-eps-2025-09-29-0pt8,Will Jefferies (JEF) beat quarterly earnings?,2025-09-29T00:00:00Z,,Yes,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,,45005.464553,,"earnings,economy,finance"
614619,ccl-quarterly-earnings-nongaap-eps-2025-09-29-1pt32,Will Carnival Corporation (CCL) beat quarterly earnings?,2025-09-29T00:00:00Z,,Yes,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,,12102.393893,,"earnings,economy,finance"
614635,unfi-quarterly-earnings-nongaap-eps-2025-09-30-neg0pt18,Will United Natural Foods (UNFI) beat quarterly earnings?,2025-09-30T00:00:00Z,,Yes,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,,10879.427314,,"earnings,economy,finance"
614632,lw-quarterly-earnings-nongaap-eps-2025-09-30-0pt53,Will Lamb Weston Holdings (LW) beat quarterly earnings?,2025-09-30T00:00:00Z,,Yes,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,,6483.689158,,"earnings,economy,finance"
613037,nke-quarterly-earnings-gaap-eps-2025-09-30-0pt27,Will NIKE (NKE) beat quarterly earnings?,2025-09-30T00:00:00Z,,Yes,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,,159213.625713,,"earnings,economy,finance"
614636,stz-quarterly-earnings-nongaap-eps-2025-10-06-3pt44,Will Constellation Brands (STZ) beat quarterly earnings?,2025-10-06T00:00:00Z,,Yes,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,,28275.424567,,"earnings,economy,finance"
619853,peng-quarterly-earnings-nongaap-eps-2025-10-07-0pt37,Will Penguin Solutions (PENG) beat quarterly earnings?,2025-10-07T00:00:00Z,,Yes,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,,6272.205259,,"earnings,economy,finance"
614637,mkc-quarterly-earnings-nongaap-eps-2025-10-07-0pt82,Will McCormick & Company (MKC) beat quarterly earnings?,2025-10-07T00:00:00Z,,Yes,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,,10219.254055,,"earnings,economy,finance"
619983,rgp-quarterly-earnings-nongaap-eps-2025-10-08-neg0pt10,Will Resources Connection (RGP) beat quarterly earnings?,2025-10-08T00:00:00Z,,Yes,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,,4974.09297,,"earnings,economy,finance"
619980,rell-quarterly-earnings-nongaap-eps-2025-10-08-neg0pt01,Will Richardson Electronics (RELL) beat quarterly earnings?,2025-10-08T00:00:00Z,,Yes,True,True,False,True,0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,,22033.366218,,"earnings,economy,finance"
